scenario_id,sql_canonical,sql_norm_hash
ADSTAND-SOCIAL-TESTIMONIAL-001,"SELECT id FROM clauses WHERE id IN ('104','101')",834615c6e727baa48c42d94579944be7b381b70a5109ae189fd1d9dc9cf8729f
ADV-ADSTAND-SOCIAL-TESTIMONIAL-001-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('101','102')",7e75cfbb56f653b54f0c25d68694f129854538da42427393dd5721f860297615
ADV-CASL-EMAIL-CEM-001-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('103','104')",47be7a4c1db51264773a017a726272c32574292db0575e24a119a3e87de10049
ADV-CASL-EMAIL-CEM-001-INCOMPLETE-001,"SELECT id FROM clauses WHERE id IN ('102','102')",7639fa09f0895412f70c7dcbf780568ab50d3d1d883cdb47d379a5c148a66959
ADV-CASL-EMAIL-TRANSACTIONAL-002-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('104','101')",834615c6e727baa48c42d94579944be7b381b70a5109ae189fd1d9dc9cf8729f
ADV-CASL-EMAIL-UNSUB-003-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('101','102')",7e75cfbb56f653b54f0c25d68694f129854538da42427393dd5721f860297615
ADV-CASL-EMAIL-UNSUB-003-INCOMPLETE-001,"SELECT id FROM clauses WHERE id IN ('102','102')",7639fa09f0895412f70c7dcbf780568ab50d3d1d883cdb47d379a5c148a66959
ADV-CRTC-SMS-DNCL-001-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('104','101')",834615c6e727baa48c42d94579944be7b381b70a5109ae189fd1d9dc9cf8729f
ADV-PIPEDA-WEB-PI-007-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('103','104')",47be7a4c1db51264773a017a726272c32574292db0575e24a119a3e87de10049
ADV-QL25-LANDING-CONSENT-001-AMBIGUOUS-001,"SELECT id FROM clauses WHERE id IN ('102','103')",af09ac6c1de0b52ffa019e2b2d2e4f3706d659bb0917c8969f4dd5f334f6ea8c
CASL-EMAIL-CEM-001,"SELECT id FROM clauses WHERE id IN ('102','103')",af09ac6c1de0b52ffa019e2b2d2e4f3706d659bb0917c8969f4dd5f334f6ea8c
CASL-EMAIL-TRANSACTIONAL-002,"SELECT id FROM clauses WHERE id IN ('101','102')",7e75cfbb56f653b54f0c25d68694f129854538da42427393dd5721f860297615
CASL-EMAIL-UNSUB-003,"SELECT id FROM clauses WHERE id IN ('103','104')",47be7a4c1db51264773a017a726272c32574292db0575e24a119a3e87de10049
CRTC-SMS-DNCL-001,"SELECT id FROM clauses WHERE id IN ('101','102')",7e75cfbb56f653b54f0c25d68694f129854538da42427393dd5721f860297615
PIPEDA-WEB-PI-007,"SELECT id FROM clauses WHERE id IN ('101','102')",7e75cfbb56f653b54f0c25d68694f129854538da42427393dd5721f860297615
QL25-LANDING-CONSENT-001,"SELECT id FROM clauses WHERE id IN ('102','103')",af09ac6c1de0b52ffa019e2b2d2e4f3706d659bb0917c8969f4dd5f334f6ea8c
